iter	Passed	Remaining
407	5739	6668
408	5753	6653
409	5765	6637
410	5779	6623
411	5792	6608
412	5806	6594
413	5820	6579
414	5833	6564
415	5847	6549
416	5860	6535
417	5874	6521
418	5888	6506
419	5902	6492
420	5916	6478
421	5929	6463
422	5942	6448
423	5956	6433
424	5968	6418
425	5982	6403
426	5995	6388
427	6008	6373
428	6022	6358
429	6034	6343
430	6047	6328
431	6061	6313
432	6075	6300
433	6089	6285
434	6104	6272
435	6117	6258
436	6130	6243
437	6144	6228
438	6157	6213
439	6170	6198
440	6184	6184
441	6197	6169
442	6211	6155
443	6225	6140
444	6238	6126
445	6252	6111
446	6263	6095
447	6277	6080
448	6291	6067
449	6304	6052
450	6317	6037
451	6331	6023
452	6345	6009
453	6358	5993
454	6371	5979
455	6384	5964
456	6396	5948
457	6410	5934
458	6423	5919
459	6436	5904
460	6450	5890
461	6463	5875
462	6477	5861
463	6490	5847
464	6504	5832
465	6517	5818
466	6531	5804
467	6544	5789
468	6558	5775
469	6572	5761
470	6585	5746
471	6598	5731
472	6612	5717
473	6625	5702
474	6639	5688
475	6652	5674
476	6666	5660
477	6682	5648
478	6697	5634
479	6710	5620
480	6724	5605
481	6737	5591
482	6750	5576
483	6764	5562
484	6778	5548
485	6792	5534
486	6806	5520
487	6819	5505
488	6832	5491
489	6845	5476
490	6859	5462
491	6873	5448
492	6886	5433
493	6900	5419
494	6914	5405
495	6928	5391
496	6941	5377
497	6954	5362
498	6968	5348
499	6981	5333
500	6995	5319
501	7008	5305
502	7021	5290
503	7034	5276
504	7048	5262
505	7062	5247
506	7075	5233
507	7089	5219
508	7102	5204
509	7116	5190
510	7130	5176
511	7144	5163
512	7157	5148
513	7171	5134
514	7184	5119
515	7197	5105
516	7211	5091
517	7224	5076
518	7238	5062
519	7251	5048
520	7265	5033
521	7278	5019
522	7291	5005
523	7305	4990
524	7318	4976
525	7332	4962
526	7345	4948
527	7359	4933
528	7373	4920
529	7386	4905
530	7399	4891
531	7412	4876
532	7427	4863
533	7440	4848
534	7453	4834
535	7466	4820
536	7480	4805
537	7493	4791
538	7508	4778
539	7522	4764
540	7536	4750
541	7549	4735
542	7564	4722
543	7577	4707
544	7590	4693
545	7603	4679
546	7616	4664
547	7630	4650
548	7643	4636
549	7658	4622
550	7671	4608
551	7685	4594
552	7700	4581
553	7713	4566
554	7727	4552
555	7741	4538
556	7754	4524
557	7768	4510
558	7782	4496
559	7795	4482
560	7808	4468
561	7823	4454
562	7837	4440
563	7850	4426
564	7863	4411
565	7876	4397
566	7890	4383
567	7903	4369
568	7916	4355
569	7931	4341
570	7944	4327
571	7957	4312
572	7972	4299
573	7986	4285
574	8000	4271
575	8013	4257
576	8026	4242
577	8039	4228
578	8052	4214
579	8065	4199
580	8079	4185
581	8093	4171
582	8106	4157
583	8120	4143
584	8134	4129
585	8148	4115
586	8161	4101
587	8175	4087
588	8187	4073
589	8200	4058
590	8213	4044
591	8227	4030
592	8240	4016
593	8254	4002
594	8268	3988
595	8282	3974
596	8295	3960
597	8309	3946
598	8323	3932
599	8336	3918
600	8349	3903
601	8362	3889
602	8376	3875
603	8389	3861
604	8402	3847
605	8415	3832
606	8430	3819
607	8443	3805
608	8456	3790
609	8469	3776
610	8482	3762
611	8495	3748
612	8510	3734
613	8524	3720
614	8540	3707
615	8556	3694
616	8571	3681
617	8586	3668
618	8599	3653
619	8614	3640
620	8628	3626
621	8642	3612
622	8658	3599
623	8673	3586
624	8690	3573
625	8706	3560
626	8723	3547
627	8739	3534
628	8753	3520
629	8768	3507
630	8797	3499
631	8814	3486
632	8830	3473
633	8845	3460
634	8859	3446
635	8872	3431
636	8887	3418
637	8900	3403
638	8913	3389
639	8927	3375
640	8941	3361
641	8955	3347
642	8968	3333
643	8981	3319
644	8995	3305
645	9009	3291
646	9022	3277
647	9035	3262
648	9048	3248
649	9061	3234
650	9075	3220
651	9088	3206
652	9102	3192
653	9115	3177
654	9129	3163
655	9143	3150
656	9157	3135
657	9170	3121
658	9183	3107
659	9195	3093
660	9209	3079
661	9222	3064
662	9235	3050
663	9249	3036
