iter	Logloss
0	0.5595701632
1	0.474971578
2	0.4094214988
3	0.3680935201
4	0.341378965
5	0.3170265192
6	0.2994208772
7	0.2816452833
8	0.2639145837
9	0.2518545996
10	0.2411703804
11	0.2338436504
12	0.2216372967
13	0.2086602466
14	0.2012018819
15	0.1952430695
16	0.1903552926
17	0.1843851035
18	0.1793728753
19	0.1765003004
20	0.1705849018
21	0.167426088
22	0.1609321237
23	0.1556729254
24	0.1532558372
25	0.1495513363
26	0.1478253004
27	0.1461603367
28	0.1438793794
29	0.1417916605
30	0.1395423641
31	0.1379864317
32	0.1356441591
33	0.1341890957
34	0.1334214595
35	0.1324509648
36	0.1317540697
37	0.1306539302
38	0.12990037
39	0.1290882327
40	0.1285702045
41	0.1276875443
42	0.1267317257
43	0.1253940794
44	0.1245940486
45	0.1234630833
46	0.1214692197
47	0.1200794611
48	0.1177151704
49	0.1170968607
50	0.1162820806
51	0.115347345
52	0.114395556
53	0.1135438198
54	0.1120280548
55	0.1106365224
56	0.1097225227
57	0.1081440437
58	0.1077165019
59	0.107168107
60	0.1066252146
61	0.1058402656
62	0.1054008268
63	0.105137716
64	0.1038184267
65	0.1032949479
66	0.1011837786
67	0.1009542555
68	0.09988054476
69	0.09903155645
70	0.09870033547
71	0.09822302959
72	0.09621709063
73	0.09554868562
74	0.09528965381
75	0.09430858718
76	0.09411037944
77	0.09323216593
78	0.09299853269
79	0.09202334614
80	0.09153760834
81	0.0912270591
82	0.09077711249
83	0.09046770841
84	0.09002691313
85	0.08943088994
86	0.08927411515
87	0.08914122412
88	0.08866402294
89	0.08821985858
90	0.08740570513
91	0.08614187517
92	0.08593612096
93	0.0856475921
94	0.08451577383
95	0.08395611476
96	0.08377631368
97	0.08352602992
98	0.08278847782
99	0.08255465685
100	0.08234085758
101	0.08216880722
102	0.08195351342
103	0.08149568815
104	0.08126497182
105	0.08108640471
106	0.08091265891
107	0.0807194865
108	0.08014960618
109	0.08001491041
110	0.07985882618
111	0.07970763361
112	0.07895142263
113	0.07716581714
114	0.07699838571
115	0.07682031161
116	0.07661356502
117	0.07647219946
118	0.07635423437
119	0.07593465606
120	0.07572300317
121	0.07558171285
122	0.07544313868
123	0.07531291924
124	0.07509389546
125	0.07492414984
126	0.07482974632
127	0.07472380758
128	0.07369970434
129	0.07318299743
130	0.07308946954
131	0.07285516482
132	0.07270858884
133	0.07262261214
134	0.0717407661
135	0.07165302814
136	0.07145813438
137	0.07123291289
138	0.07111209631
139	0.07102923869
140	0.07092779385
141	0.07082240794
142	0.07067610635
143	0.0705405801
144	0.07041796943
145	0.07030492385
146	0.0700419978
147	0.06993868247
148	0.06935129836
149	0.06918172424
150	0.06908683577
151	0.06902386125
152	0.0689325817
153	0.06885548705
154	0.06833176376
155	0.06800064548
156	0.06784347921
157	0.06727708
158	0.06696966684
159	0.06684431103
160	0.06624920973
161	0.06603421998
162	0.06587776188
163	0.06572223605
164	0.0656295934
165	0.06547318506
166	0.06521027955
167	0.06500199577
168	0.06477751834
169	0.06458020917
170	0.06392990941
171	0.06357091647
172	0.06341389821
173	0.06327733309
174	0.06317433103
175	0.06307813317
176	0.06300731542
177	0.06288619393
178	0.06254903315
179	0.06148514299
180	0.06134578644
181	0.06121626222
182	0.06083389327
183	0.06034366987
184	0.06014744922
185	0.05995783708
186	0.05984832984
187	0.0597825013
188	0.05960594283
189	0.05942221238
190	0.0593440651
191	0.05927948935
192	0.05917612341
193	0.05895702251
194	0.05891691774
195	0.05884210349
196	0.05875855957
197	0.05847890216
198	0.05839456762
199	0.05801065693
200	0.0572349225
201	0.05719112756
202	0.05717997206
203	0.05666578786
204	0.05629701524
205	0.05604906101
206	0.05583331433
207	0.05576528289
208	0.05570919373
209	0.0556334865
210	0.05553897626
211	0.05546564314
212	0.05528891598
213	0.05513476581
214	0.05505971375
215	0.05489498882
216	0.05484614016
217	0.05469852595
218	0.05466997592
219	0.0545898491
220	0.05451086809
221	0.05435888786
222	0.05431149316
223	0.05424643724
224	0.05409085272
225	0.05398284444
226	0.05373494585
227	0.05364994706
228	0.05344276053
229	0.05308696047
230	0.05292660547
231	0.052824346
232	0.05278462336
233	0.05274492285
234	0.05267499798
235	0.05262333535
236	0.052581535
237	0.05249605995
238	0.05242163673
239	0.05233545697
240	0.05200805989
241	0.05192239016
242	0.05182952716
243	0.05179147283
244	0.05165139358
245	0.05118766983
246	0.05099781908
247	0.05034368007
248	0.05031601169
249	0.05026005651
250	0.0499027467
251	0.04974311623
252	0.04965289356
253	0.04961006787
254	0.04956527285
255	0.04951873791
256	0.04940464784
257	0.0492218334
258	0.0491625852
259	0.04903413943
260	0.04901266228
261	0.04887134194
262	0.04880025599
263	0.04875153481
264	0.04871771538
265	0.0486515093
266	0.04860124151
267	0.04853680855
268	0.04847158068
269	0.04842047118
270	0.04837688087
271	0.04826734394
272	0.04820598472
273	0.04814342336
274	0.0480622369
275	0.0480222659
276	0.04755313759
277	0.04747789964
278	0.04713251361
279	0.04694169089
280	0.0468280629
281	0.04639286413
282	0.04636503124
283	0.04628158191
284	0.04612675515
285	0.04607937043
286	0.04600886879
287	0.04595487946
288	0.04590331411
289	0.04584166616
290	0.04580131244
291	0.04560773583
292	0.04542875513
293	0.04513834875
294	0.04509707175
295	0.04506863132
296	0.04504350261
297	0.04499842023
298	0.04496999385
299	0.04490772962
300	0.04486339886
301	0.04480079647
302	0.04477017464
303	0.04472948894
304	0.04469033397
305	0.04457549549
306	0.04430669312
307	0.04425501627
308	0.04392886394
309	0.04383831614
310	0.04379734428
311	0.04372144461
312	0.0436823249
313	0.04350166735
314	0.04328985912
315	0.0432701662
316	0.04322381536
317	0.04285510088
318	0.04280093004
319	0.04275634509
320	0.04273898446
321	0.04234169006
322	0.0419993664
323	0.04194895505
324	0.0419112385
325	0.0418615239
326	0.04177958755
327	0.04175331367
328	0.04173818114
329	0.04170775656
330	0.04166353579
331	0.04158738048
332	0.04152423436
333	0.04142193494
334	0.0413864405
335	0.04111138712
336	0.04071318701
337	0.04068842656
338	0.04038837281
339	0.04035482174
340	0.04032410993
341	0.04024058599
342	0.04021058913
343	0.04013831509
344	0.04010407345
345	0.04006885363
346	0.04003063804
347	0.03978365162
348	0.0396944165
349	0.03956210161
350	0.03949897739
351	0.03948256138
352	0.03942683713
353	0.03939021555
354	0.03922944892
355	0.03892097403
356	0.0387089115
357	0.03863175207
358	0.03859926345
359	0.03855279654
360	0.03851096207
361	0.03846846681
362	0.03842179122
363	0.03838322902
364	0.03811368331
365	0.03809095746
366	0.03801903795
367	0.03796061425
368	0.0379079204
369	0.03781529781
370	0.03774874461
371	0.0377270443
372	0.03756960642
373	0.037300124
374	0.03721065518
375	0.03719675849
376	0.03713716082
377	0.03695698603
378	0.03681955798
379	0.03678548564
380	0.03664416189
381	0.03661662261
382	0.03660213219
383	0.03626024828
384	0.03618227744
385	0.03602911325
386	0.03598835026
387	0.03594917416
388	0.03592066023
389	0.03585976402
390	0.03579964746
391	0.03574725414
392	0.03570836213
393	0.0356675382
394	0.03562315005
395	0.03558795843
396	0.03552812072
397	0.03549967573
398	0.03547153062
399	0.0354431719
400	0.03542941257
401	0.03536952231
402	0.03532313562
403	0.03528915782
404	0.03523258058
405	0.03520450626
406	0.03518610316
407	0.0351347594
408	0.03509818341
409	0.03507616127
410	0.03497113147
411	0.03493902759
412	0.03483648455
413	0.0347855951
414	0.03475933633
415	0.0347252521
416	0.03470109728
417	0.03466206819
418	0.03457295761
419	0.03453315858
420	0.03450205517
421	0.03440546864
422	0.03436882081
423	0.03432655721
424	0.03428879212
425	0.0341619183
426	0.03412573664
427	0.03410718298
428	0.03407722097
429	0.03405396226
430	0.03403612464
431	0.03401246481
432	0.03393650199
433	0.03391482937
434	0.0338751514
435	0.03384337776
436	0.03382977519
437	0.03380574261
438	0.03374579501
439	0.03368648829
440	0.0336642194
441	0.03361867787
442	0.03359610047
443	0.03357161246
444	0.03354574574
445	0.03352578718
446	0.03349405622
447	0.03347359694
448	0.03342829658
449	0.03340706567
450	0.03336775702
451	0.03333276812
452	0.03331379661
453	0.03328312474
454	0.03326356487
455	0.03324491277
456	0.03323499802
457	0.03317701727
458	0.03316273949
459	0.03314813881
460	0.03309843838
461	0.03309351856
462	0.03306593713
463	0.03304606874
464	0.03295977312
465	0.03284967883
466	0.03280189255
467	0.03278623508
468	0.03275961419
469	0.03272734361
470	0.03271251398
471	0.03269006791
472	0.03267102913
473	0.0325674362
474	0.032529054
475	0.03251443921
476	0.03248391514
477	0.03244208096
478	0.0324235075
479	0.03241270705
480	0.03238795185
481	0.03236766372
482	0.03235091089
483	0.03225435787
484	0.03202024963
485	0.03199169441
486	0.0319549998
487	0.03193819067
488	0.03184496213
489	0.03182817641
490	0.03175070045
491	0.03169854216
492	0.03157539873
493	0.03154399929
494	0.03148384257
495	0.03144039923
496	0.03141105126
497	0.03137748478
498	0.03135038093
499	0.03127739442
500	0.03123636445
501	0.03114885567
502	0.03113142718
503	0.03109989057
504	0.03105821407
505	0.0310070832
